slug,code_commune,nom_ville,code_postal,note_globale,environnement,transports,securite,sante,sports_et_loisirs,culture,enseignement,commerces,qualite_de_vie
viriat_1451,1451,Viriat,1440,3.6,3.5,4.0,2.0,5.5,6.0,4.0,3.0,5.5,3.0
belleu_2064,2064,Belleu,2200,7.75,8.0,7.67,8.0,7.67,8.33,8.0,8.33,6.67,7.67
bohain-en-vermandois_2095,2095,Bohain En Vermandois,2110,4.05,4.18,4.09,4.73,4.73,5.36,4.18,5.82,4.82,3.36
chateau-thierry_2168,2168,Chateau Thierry,2400,6.38,6.94,5.65,5.92,5.83,7.75,6.62,6.22,6.88,6.28
chauny_2173,2173,Chauny,2300,6.5,6.89,5.78,6.44,5.94,7.0,5.5,6.78,6.67,6.61
gauchy_2340,2340,Gauchy,2430,9.44,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0
guise_2361,2361,Guise,2120,7.02,8.33,2.33,7.33,5.33,7.67,8.0,7.33,7.33,7.33
hirson_2381,2381,Hirson,2500,4.64,5.57,4.64,3.86,4.64,5.93,5.29,6.07,5.0,4.14
laon_2408,2408,Laon,2000,4.91,5.97,4.67,4.46,4.57,5.53,5.78,5.41,4.11,4.76
saint-quentin_2691,2691,Saint Quentin,2100,4.17,4.97,4.95,3.51,4.81,5.73,5.2,4.94,4.9,3.47
soissons_2722,2722,Soissons,2200,4.53,4.86,4.08,3.92,4.24,5.51,5.12,5.57,4.98,4.27
tergnier_2738,2738,Tergnier,2700,5.03,5.71,7.14,4.29,4.57,6.0,6.0,5.29,4.86,4.57
vervins_2789,2789,Vervins,2140,5.08,8.0,3.2,6.6,4.6,5.2,4.6,5.6,3.4,5.0
villers-cotterets_2810,2810,Villers Cotterets,2600,5.88,7.25,4.58,6.0,5.08,6.17,6.92,6.92,5.83,5.67
avermes_3013,3013,Avermes,3000,,,,,,,,,,
bellerive-sur-allier_3023,3023,Bellerive Sur Allier,3700,5.77,5.75,6.75,4.63,7.0,6.63,5.75,6.88,5.88,5.38
commentry_3082,3082,Commentry,3600,5.11,3.6,2.0,5.6,3.4,7.8,6.4,5.2,4.6,5.4
cusset_3095,3095,Cusset,3300,6.55,6.0,5.25,6.25,5.75,6.75,7.75,8.5,4.5,6.75
desertines_3098,3098,Desertines,3630,,,,,,,,,,
domerat_3101,3101,Domerat,3410,4.8,6.0,5.2,4.6,2.8,4.6,3.2,3.6,3.6,5.4
gannat_3118,3118,Gannat,3800,4.81,5.33,2.33,4.0,6.33,6.67,5.33,6.0,6.33,4.33
montlucon_3185,3185,Montlucon,3100,4.1,4.95,3.05,4.24,3.19,4.65,4.13,5.27,4.57,3.95
moulins_3190,3190,Moulins,3000,5.64,6.57,4.57,6.47,5.26,5.79,5.57,6.09,4.91,5.62
saint-germain-des-fosses_3236,3236,Saint Germain Des Fosses,3260,8.06,10.0,6.0,7.0,8.0,8.0,6.0,5.0,7.0,9.0
saint-pourcain-sur-sioule_3254,3254,Saint Pourcain Sur Sioule,3500,5.65,6.0,3.0,6.4,5.8,7.8,5.6,7.8,4.8,5.4
varennes-sur-allier_3298,3298,Varennes Sur Allier,3150,,,,,,,,,,
vichy_3310,3310,Vichy,3200,6.93,7.58,5.75,6.51,5.84,7.69,7.14,6.49,6.87,7.13
yzeure_3321,3321,Yzeure,3400,8.0,9.0,6.0,7.0,5.0,8.0,6.0,7.0,8.0,9.0
barcelonnette_4019,4019,Barcelonnette,4400,7.87,9.43,5.43,9.43,5.86,7.29,5.14,7.14,6.43,8.71
castellane_4039,4039,Castellane,4120,6.88,9.0,4.5,8.0,5.5,5.0,3.5,6.0,4.5,8.0
chateau-arnoux-saint-auban_4049,4049,Chateau Arnoux Saint Auban,4160,7.39,8.4,7.0,7.0,6.2,8.4,7.6,7.4,7.0,7.4
digne-les-bains_4070,4070,Digne Les Bains,4000,5.08,6.91,3.76,4.49,3.94,5.72,4.71,5.65,4.19,5.23
